rank	lemma	PoS	freq	perMil	%caps	%allC	range	disp
1	the	a	50033612	50385.16	0.11	0.00	482995	0.98
2	be	v	32394756	32622.71	0.03	0.01	481177	0.99
3	and	c	24778098	24952.20	0.09	0.00	478670	0.98
4	a	a	24225478	24395.69	0.04	0.04	478204	0.99
5	of	i	23159162	23321.89	0.01	0.00	477933	0.97
6	to	t	16770155	16887.99	0.02	0.00	471197	1.01
7	in	i	15670692	15780.80	0.08	0.00	472313	0.98
8	i	p	14217601	14317.50	1.00	1.00	352633	0.97
9	you	p	12079413	12164.29	0.20	0.01	366279	0.96
10	it	p	11042044	11119.63	0.24	0.00	444766	0.99
11	have	v	10514314	10588.23	0.02	0.01	458950	0.99
12	to	i	9232572	9297.44	0.02	0.01	461573	1.00
13	that	c	8319512	8377.97	0.01	0.00	446027	0.98
14	for	i	8194970	8252.55	0.05	0.01	459026	0.99
15	do	v	8186412	8244.70	0.10	0.01	415641	0.98
16	he	p	6467470	6512.91	0.30	0.00	331648	0.97
17	with	i	6442861	6488.13	0.04	0.00	447718	0.99
18	on	i	6080156	6122.88	0.05	0.01	450854	0.99
19	this	d	5541440	5580.30	0.22	0.01	425335	0.98
20	n't	x	5285354	5322.49	0.01	0.01	355120	0.98
21	we	p	5180711	5217.11	0.32	0.01	354901	0.97
22	that	d	5002963	5038.12	0.22	0.01	387078	0.97
23	not	x	4655980	4688.69	0.07	0.01	402439	0.99
24	but	c	4523086	4554.87	0.37	0.00	413853	0.98
25	they	p	4503650	4535.29	0.23	0.00	382938	0.98
26	say	v	4096416	4125.20	0.01	0.00	355982	0.96
27	at	i	4024079	4052.35	0.07	0.01	419675	0.98
28	what	d	3807502	3834.25	0.34	0.01	352200	0.98
29	his	a	3718978	3745.11	0.07	0.00	311907	0.96
30	from	i	3711425	3737.50	0.04	0.00	421356	0.98
31	go	v	3546732	3571.65	0.05	0.01	343215	0.97
32	or	c	3420339	3444.37	0.05	0.00	388852	0.97
33	by	i	3372222	3395.92	0.06	0.01	407820	0.97
34	get	v	3347615	3371.14	0.07	0.01	342423	0.98
35	she	p	3188078	3210.48	0.32	0.00	206627	0.93
36	my	a	3106939	3128.77	0.15	0.01	258405	0.97
37	can	v	3091046	3113.52	0.06	0.01	372375	0.99
38	as	c	2946119	2966.82	0.11	0.00	386184	0.98
39	know	v	2761628	2781.03	0.02	0.01	311250	0.96
40	if	c	2709809	2728.85	0.33	0.01	359736	0.98
41	me	p	2638743	2657.28	0.03	0.01	234578	0.96
42	your	a	2577505	2595.62	0.09	0.01	261375	0.97
43	all	d	2503556	2521.15	0.11	0.01	369077	0.99
44	who	p	2493429	2510.95	0.07	0.00	360135	0.98
45	about	i	2427703	2444.76	0.02	0.01	350741	0.98
46	their	a	2417058	2434.04	0.03	0.00	352482	0.97
47	will	v	2372215	2391.52	0.03	0.01	378558	0.98
48	so	r	2369749	2382.89	0.36	0.01	329537	0.97
49	would	v	2349400	2365.91	0.03	0.00	326647	0.98
50	make	v	2290830	2306.93	0.04	0.01	373164	0.99
51	just	r	2270900	2286.86	0.12	0.01	324879	0.98
52	up	r	2108756	2123.57	0.02	0.01	344761	0.98
53	think	v	2077762	2092.36	0.03	0.01	279321	0.96
54	time	n	2018725	2032.91	0.07	0.01	358945	0.99
55	there	e	1980173	1994.09	0.36	0.00	333241	0.98
56	see	v	1958700	1972.46	0.07	0.01	316886	0.99
57	her	a	1931189	1944.76	0.08	0.00	189896	0.91
58	as	i	1880190	1893.40	0.10	0.00	350681	0.96
59	out	r	1828593	1841.44	0.02	0.01	331489	0.99
60	one	m	1816593	1829.36	0.17	0.01	355952	0.99
61	come	v	1802158	1814.82	0.14	0.01	311577	0.98
62	people	n	1800205	1812.85	0.08	0.00	292242	0.96
63	take	v	1768822	1780.53	0.06	0.01	340154	0.99
64	year	n	1729962	1742.14	0.03	0.00	334783	0.97
65	him	p	1717209	1729.27	0.02	0.01	212743	0.96
66	them	p	1701589	1713.54	0.01	0.00	309265	0.98
67	some	d	1684262	1696.10	0.12	0.00	334036	0.99
68	want	v	1671524	1683.27	0.03	0.01	274583	0.99
69	how	r	1666469	1678.18	0.29	0.01	305469	0.99
70	when	c	1650353	1661.95	0.27	0.00	337307	0.98
71	which	d	1613281	1624.62	0.04	0.00	331057	0.97
72	now	r	1601991	1613.25	0.25	0.01	298107	0.98
73	like	i	1583444	1594.57	0.06	0.01	299261	0.98
74	other	j	1539952	1550.77	0.04	0.00	313844	0.97
75	could	v	1529795	1540.54	0.03	0.00	295499	0.98
76	our	a	1467955	1478.27	0.10	0.01	265980	0.98
77	into	i	1461573	1471.84	0.01	0.00	320692	0.97
78	here	r	1413594	1423.53	0.15	0.01	241506	0.96
79	then	r	1344434	1353.88	0.21	0.00	280169	0.98
80	than	c	1342798	1352.23	0.01	0.00	320731	0.98
81	look	v	1338475	1347.88	0.16	0.01	259517	0.97
82	way	n	1260011	1268.86	0.03	0.01	297006	0.99
83	more	r	1248955	1257.73	0.04	0.01	308986	0.97
84	these	d	1223310	1231.91	0.19	0.00	273148	0.97
85	no	a	1206112	1214.59	0.13	0.01	279919	0.99
86	thing	n	1202004	1210.45	0.03	0.01	255153	0.97
87	well	r	1189096	1197.45	0.56	0.01	229982	0.95
88	because	c	1167024	1175.22	0.14	0.00	269757	0.97
89	also	r	1142799	1150.83	0.07	0.00	311270	0.96
90	two	m	1139973	1147.98	0.10	0.01	297686	0.99
91	use	v	1126042	1133.95	0.05	0.00	270507	0.97
92	tell	v	1119692	1127.56	0.07	0.01	230854	0.98
93	good	j	1111721	1119.53	0.17	0.01	251001	0.98
94	first	m	1101803	1109.54	0.12	0.01	300695	0.98
95	man	n	1091176	1099.05	0.12	0.02	190702	0.98
96	day	n	1068902	1076.41	0.07	0.02	271436	0.98
97	find	v	1051936	1059.33	0.03	0.01	275832	0.99
98	give	v	1048189	1055.55	0.08	0.01	275605	0.99
99	more	d	1037966	1045.26	0.05	0.01	304169	0.98
100	new	j	1017175	1024.32	0.12	0.01	279365	0.98
101	one	p	999446	1006.47	0.06	0.01	255317	0.99
102	us	p	992207	999.18	0.01	0.01	218530	0.98
103	any	d	981535	988.43	0.06	0.01	267868	0.98
104	those	d	964458	971.23	0.10	0.00	268925	0.98
105	very	r	963552	970.32	0.06	0.01	236629	0.95
106	her	p	959780	966.52	0.01	0.01	128692	0.93
107	need	v	945498	952.14	0.02	0.01	244037	0.99
108	back	r	938649	945.24	0.02	0.01	231812	0.97
109	there	r	932354	938.90	0.08	0.01	212783	0.97
110	should	v	920908	927.38	0.05	0.01	236459	0.99
111	even	r	920346	926.81	0.13	0.00	266058	0.98
112	only	r	905093	911.45	0.07	0.00	269145	0.98
113	many	d	903833	910.18	0.11	0.00	270095	0.97
114	really	r	895900	902.19	0.08	0.01	205808	0.96
115	work	v	854095	860.10	0.03	0.01	249765	0.99
116	life	n	852257	858.25	0.07	0.01	217413	0.99
117	why	r	832911	838.76	0.42	0.01	196824	0.98
118	right	r	830729	836.57	0.17	0.01	155193	0.93
119	down	r	820294	826.06	0.02	0.01	225234	0.97
120	on	r	818739	824.49	0.02	0.01	209670	0.97
121	try	v	795248	800.84	0.05	0.01	229052	0.98
122	let	v	780929	786.42	0.39	0.01	177948	0.96
123	something	p	779903	785.45	0.06	0.01	203758	0.98
124	too	r	771375	776.79	0.05	0.01	224079	0.98
125	call	v	768117	773.51	0.05	0.01	232968	0.99
126	woman	n	759817	765.16	0.12	0.02	143865	0.98
127	may	v	757742	763.07	0.03	0.00	221930	0.98
128	still	r	757548	762.87	0.10	0.01	243441	0.98
129	through	i	752325	757.61	0.05	0.00	243097	0.98
130	mean	v	748840	754.10	0.02	0.01	195304	0.97
131	after	i	745154	750.39	0.14	0.00	262577	0.98
132	never	r	744608	749.84	0.07	0.01	209188	0.99
133	no	u	743203	748.42	0.69	0.02	99323	0.90
134	world	n	732511	737.66	0.18	0.01	208857	0.98
135	in	r	726590	731.70	0.10	0.01	243083	0.99
136	feel	v	722826	727.90	0.02	0.01	197716	0.98
137	yeah	u	703928	708.87	0.83	0.02	69267	0.89
138	great	j	696589	701.90	0.13	0.01	221670	0.99
139	last	m	692989	697.86	0.10	0.01	242127	0.97
140	child	n	685426	690.24	0.08	0.01	139409	0.97
141	oh	u	685234	690.05	0.93	0.03	91376	0.90
142	over	i	679617	684.39	0.06	0.00	243920	0.98
143	ask	v	676596	681.35	0.04	0.00	200919	0.98
144	when	r	669530	674.23	0.17	0.01	240060	0.99
145	as	r	662376	667.03	0.04	0.00	244204	0.98
146	school	n	660191	664.83	0.15	0.01	140169	0.95
147	state	n	638012	642.49	0.25	0.00	154342	0.95
148	much	d	636642	641.12	0.03	0.01	226197	0.98
149	talk	v	635614	640.08	0.04	0.01	162187	0.96
150	out	i	634959	639.42	0.03	0.01	210258	0.98
151	keep	v	626487	630.89	0.09	0.01	217125	0.99
152	leave	v	622651	627.03	0.05	0.01	205753	0.99
153	put	v	616952	621.29	0.07	0.01	213983	0.99
154	like	v	614691	619.01	0.07	0.01	174885	0.98
155	help	v	606887	610.55	0.05	0.01	216544	0.99
156	big	j	600364	604.58	0.13	0.01	201345	0.98
157	where	r	597351	601.55	0.26	0.01	196147	0.99
158	same	d	592441	596.60	0.03	0.01	215422	0.98
159	all	r	591610	595.77	0.34	0.01	164370	0.96
160	own	d	579172	583.24	0.01	0.00	206173	0.98
161	while	c	579023	583.09	0.27	0.00	232329	0.97
162	start	v	578246	582.31	0.04	0.01	208936	0.98
163	three	m	570885	574.90	0.10	0.01	215879	0.98
164	high	j	567720	571.71	0.11	0.01	193921	0.96
165	every	a	567233	571.22	0.13	0.01	212048	0.98
166	another	d	565094	569.10	0.15	0.01	222106	0.99
167	become	v	561963	565.24	0.01	0.00	211386	0.97
168	most	r	561354	565.30	0.03	0.00	225441	0.97
169	between	i	558517	562.44	0.03	0.00	192962	0.95
170	happen	v	552797	556.68	0.01	0.01	174515	0.97
171	family	n	544520	548.35	0.06	0.01	159925	0.98
172	over	r	538724	542.51	0.04	0.01	192842	0.98
173	president	n	538319	542.10	0.48	0.01	116385	0.90
174	old	j	537424	541.20	0.08	0.01	175821	0.98
175	yes	u	537066	540.84	0.76	0.01	115558	0.94
176	house	n	537037	540.81	0.38	0.02	145530	0.97
177	show	v	536889	540.66	0.04	0.01	204040	0.98
178	again	r	530706	534.43	0.07	0.01	177303	0.97
179	student	n	530196	533.92	0.07	0.00	75480	0.85
180	so	c	523232	526.91	0.11	0.00	193783	0.98
181	seem	v	522940	526.61	0.02	0.00	186415	0.98
182	might	v	521992	525.66	0.02	0.00	192317	0.99
183	part	n	517693	521.33	0.06	0.00	210312	0.98
184	hear	v	516483	520.11	0.03	0.01	158612	0.97
185	its	a	511922	515.52	0.00	0.00	138902	0.89
186	place	n	508803	512.38	0.03	0.01	191911	0.99
187	problem	n	504175	507.72	0.03	0.01	164439	0.97
188	where	c	500755	504.27	0.06	0.00	203922	0.98
189	believe	v	500511	504.03	0.03	0.01	170687	0.98
190	country	n	499369	502.88	0.04	0.00	145991	0.96
191	always	r	492943	496.41	0.04	0.01	182046	0.99
192	week	n	484834	488.24	0.04	0.01	189042	0.97
193	point	n	484094	487.50	0.04	0.00	175174	0.97
194	hand	n	481332	484.71	0.03	0.01	153873	0.94
195	off	r	479459	482.83	0.02	0.01	179133	0.98
196	play	v	478740	481.38	0.03	0.01	162867	0.98
197	turn	v	477668	481.02	0.06	0.01	181656	0.96
198	few	d	472804	476.13	0.03	0.00	202353	0.98
199	group	n	470971	474.28	0.08	0.00	145569	0.94
200	such	d	468655	471.95	0.10	0.00	171483	0.96
201	against	i	467705	470.99	0.02	0.00	167240	0.97
202	run	v	465066	468.33	0.04	0.01	176101	0.98
203	guy	n	464082	467.34	0.02	0.01	106859	0.96
204	about	r	462995	466.25	0.06	0.00	191855	0.98
205	case	n	458383	461.60	0.03	0.00	144229	0.97
206	question	n	457301	460.51	0.04	0.01	156334	0.97
207	work	n	456169	459.37	0.03	0.01	166483	0.98
208	night	n	452094	455.27	0.10	0.05	139694	0.97
209	live	v	450380	453.54	0.05	0.01	165574	0.99
210	game	n	445149	448.28	0.10	0.01	105836	0.94
211	number	n	444412	447.53	0.05	0.01	165041	0.97
212	write	v	439865	442.96	0.04	0.00	150771	0.97
213	bring	v	439445	442.53	0.05	0.01	184504	0.99
214	without	i	438567	441.65	0.09	0.00	186759	0.98
215	money	n	437583	440.66	0.04	0.01	130418	0.98
216	lot	n	437545	440.62	0.02	0.01	160945	0.95
217	most	d	435849	438.91	0.24	0.00	190378	0.97
218	book	n	435387	438.45	0.09	0.01	112965	0.96
219	system	n	435303	438.36	0.06	0.00	122133	0.95
220	government	n	434971	435.48	0.08	0.00	100101	0.95
221	next	m	433864	436.91	0.11	0.01	188694	0.98
222	city	n	433843	436.89	0.34	0.01	131718	0.96
223	company	n	432469	435.51	0.08	0.00	115321	0.94
224	story	n	432184	435.22	0.06	0.01	143632	0.97
225	today	r	431562	434.59	0.21	0.03	165886	0.96
226	job	n	430995	434.02	0.04	0.01	140926	0.98
227	move	v	430324	433.35	0.06	0.01	168107	0.99
228	must	v	427796	430.80	0.03	0.01	150761	0.98
229	bad	j	426558	429.56	0.06	0.01	156739	0.98
230	friend	n	423755	426.73	0.05	0.01	142033	0.99
231	during	i	423624	426.60	0.15	0.00	177700	0.95
232	begin	v	421878	424.84	0.05	0.03	174867	0.97
233	love	v	417532	420.47	0.08	0.02	128045	0.97
234	each	d	414659	417.57	0.14	0.00	162052	0.95
235	hold	v	413837	416.74	0.09	0.01	169960	0.98
236	different	j	413578	416.48	0.02	0.00	165900	0.97
237	american	j	410698	413.58	1.00	0.01	129481	0.95
238	little	j	404660	407.50	0.06	0.01	141562	0.97
239	before	i	402959	405.79	0.05	0.00	189407	0.97
240	ever	r	402590	405.42	0.05	0.01	160283	0.99
241	word	n	402216	405.04	0.06	0.01	142373	0.97
242	fact	n	399574	402.38	0.02	0.01	156480	0.96
243	right	n	389906	392.65	0.11	0.01	132702	0.97
244	read	v	386137	388.85	0.07	0.01	133352	0.96
245	anything	p	384508	387.21	0.06	0.01	142012	0.98
246	nothing	p	383744	386.44	0.18	0.01	141267	0.98
247	sure	j	383701	386.40	0.10	0.01	147937	0.98
248	small	j	382563	384.67	0.03	0.00	158927	0.97
249	month	n	381833	384.52	0.02	0.01	167134	0.97
